Index,Time(s),Type of jump,Jump Location(s)
1,4:12:10 PM,Normal Formation,(22.796, -0.138, 25.292)
2,4:12:12 PM,Normal Formation,(27.216, -0.138, 30.739)
3,4:12:13 PM,SemiCircle Formation,(30.882, -0.138, 35.119)
4,4:12:15 PM,SemiCircle Formation,(35.936, -0.138, 37.526)
5,4:12:16 PM,SemiCircle Formation,(41.672, -0.138, 39.015)
6,4:12:16 PM,SemiCircle Formation,(46.956, -0.138, 41.318)
7,4:12:17 PM,SemiCircle Formation,(52.083, -0.138, 44.024)
8,4:12:18 PM,SemiCircle Formation,(57.218, -0.138, 46.682)
9,4:12:19 PM,SemiCircle Formation,(62.285, -0.138, 49.469)
10,4:12:19 PM,SemiCircle Formation,(67.220, -0.138, 52.458)
11,4:13:54 PM,Circle Formation,(71.534, -0.138, 56.052)
12,4:13:54 PM,Circle Formation,(66.025, -0.138, 51.114)
13,4:13:55 PM,Circle Formation,(61.127, -0.138, 47.955)
14,4:13:56 PM,Circle Formation,(56.585, -0.138, 44.521)
15,4:13:57 PM,Circle Formation,(50.868, -0.138, 42.289)
16,4:13:57 PM,Circle Formation,(45.122, -0.138, 41.144)
17,4:13:58 PM,Circle Formation,(39.385, -0.138, 39.892)
18,4:13:59 PM,Circle Formation,(33.847, -0.138, 38.079)
19,4:13:59 PM,Circle Formation,(29.813, -0.138, 34.219)
20,4:14:00 PM,Circle Formation,(25.067, -0.138, 30.689)
21,4:14:02 PM,Circle Formation,(20.579, -0.138, 26.693)
22,4:14:39 PM,Circle Formation,(16.067, -0.138, 23.077)
23,4:14:40 PM,Circle Formation,(22.721, -0.138, 27.275)
24,4:14:40 PM,Circle Formation,(27.407, -0.138, 30.917)
25,4:14:41 PM,Circle Formation,(32.124, -0.138, 34.495)
26,4:14:41 PM,Circle Formation,(37.241, -0.138, 37.725)
27,4:14:42 PM,Circle Formation,(43.071, -0.138, 39.989)
28,4:14:42 PM,Circle Formation,(49.070, -0.138, 41.926)
29,4:14:43 PM,Circle Formation,(55.305, -0.138, 43.940)
30,4:14:43 PM,Circle Formation,(61.631, -0.138, 45.804)
31,4:14:44 PM,Circle Formation,(67.543, -0.138, 48.357)
32,4:14:48 PM,Circle Formation,(72.902, -0.138, 51.600)
33,4:15:13 PM,Circle Formation,(72.617, -0.138, 55.641)
34,4:15:14 PM,Circle Formation,(66.123, -0.138, 50.210)
35,4:15:15 PM,Circle Formation,(60.986, -0.138, 47.750)
36,4:15:15 PM,Circle Formation,(55.626, -0.138, 45.693)
37,4:15:15 PM,Circle Formation,(50.030, -0.138, 44.220)
38,4:15:16 PM,Circle Formation,(44.434, -0.138, 42.742)
39,4:15:16 PM,Circle Formation,(38.694, -0.138, 41.202)
40,4:15:17 PM,Circle Formation,(32.850, -0.138, 39.774)
41,4:15:19 PM,Circle Formation,(28.565, -0.138, 37.135)
42,4:15:19 PM,Circle Formation,(26.255, -0.138, 31.073)
43,4:15:20 PM,Circle Formation,(22.136, -0.138, 26.379)
Index, BTC Jumps
1,(8.505, -0.138, 30.322)
2,(13.519, -0.138, 30.861)
3,(18.353, -0.138, 30.939)
4,(23.169, -0.138, 30.846)
5,(27.823, -0.138, 30.604)
6,(25.520, -0.138, 28.051)
7,(10.537, -0.138, 31.192)
8,(152.656, -0.081, -15.200)
9,(150.507, -0.138, -10.263)
10,(145.633, -0.138, -7.943)
11,(140.942, -0.138, -5.530)
12,(135.794, -0.138, -3.438)
13,(130.574, -0.138, -1.821)
14,(125.043, -0.138, -0.549)
15,(119.413, -0.138, 0.399)
16,(113.860, -0.138, 1.119)
17,(108.209, -0.138, 1.682)
18,(102.577, -0.138, 2.164)
19,(96.657, -0.138, 2.687)
20,(90.671, -0.138, 3.066)
21,(84.702, -0.138, 3.124)
22,(78.790, -0.138, 3.087)
23,(73.016, -0.138, 2.911)
24,(67.405, -0.138, 2.922)
25,(61.841, -0.138, 3.372)
26,(56.387, -0.138, 3.992)
27,(50.896, -0.138, 4.761)
28,(45.564, -0.138, 5.545)
29,(40.494, -0.138, 6.318)
30,(35.362, -0.138, 7.736)
31,(31.409, -0.138, 10.853)
32,(29.356, -0.138, 15.114)
33,(27.767, -0.138, 20.082)
34,(24.692, -0.138, 24.257)
35,(20.438, -0.138, 26.944)
36,(22.170, -0.138, 25.278)
37,(26.583, -0.138, 23.013)
38,(29.900, -0.138, 19.137)
39,(31.257, -0.138, 14.133)
40,(32.398, -0.138, 8.842)
41,(34.173, -0.138, 3.456)
42,(38.769, -0.138, -0.077)
43,(44.577, -0.138, -1.296)
44,(50.398, -0.138, -1.543)
45,(56.121, -0.138, -1.691)
46,(61.527, -0.138, -3.439)
47,(64.557, -0.138, -7.784)
48,(64.132, -0.138, -13.421)
49,(63.274, -0.138, -19.005)
50,(62.629, -0.138, -24.660)
51,(62.528, -0.138, -30.410)
52,(62.759, -0.138, -36.227)
53,(62.864, -0.138, -41.986)
54,(62.983, -0.138, -47.660)
55,(64.014, -0.138, -52.985)
56,(68.824, -0.138, -54.399)
57,(73.821, -0.138, -53.672)
58,(78.731, -0.138, -52.667)
59,(82.911, -0.138, -51.871)
60,(86.361, -0.138, -51.283)
Cicle formation, SemiCircle Formation, Presenter Formations, As-is Formation, Total Jumps
33,8,0,2,43
