Index,Time(s),Type of jump,Jump Location(s)
1,10:33:52 vorm.,Normal Formation,(11.164, -0.138, 23.066)
2,10:33:53 vorm.,Normal Formation,(16.077, -0.138, 25.401)
3,10:33:53 vorm.,Normal Formation,(21.015, -0.138, 28.007)
4,10:33:54 vorm.,Normal Formation,(25.851, -0.138, 30.744)
5,10:33:56 vorm.,Normal Formation,(29.489, -0.138, 34.871)
6,10:33:56 vorm.,Normal Formation,(34.649, -0.138, 38.093)
7,10:33:57 vorm.,Normal Formation,(40.817, -0.138, 38.384)
8,10:33:57 vorm.,Normal Formation,(47.151, -0.138, 37.260)
9,10:33:58 vorm.,Normal Formation,(54.937, -0.138, 35.966)
10,10:33:58 vorm.,Normal Formation,(63.169, -0.138, 34.757)
11,10:33:59 vorm.,Normal Formation,(71.459, -0.138, 33.957)
12,10:33:59 vorm.,Normal Formation,(79.757, -0.138, 33.325)
13,10:34:00 vorm.,Normal Formation,(88.056, -0.138, 32.708)
14,10:34:00 vorm.,Normal Formation,(96.364, -0.138, 32.125)
15,10:34:00 vorm.,Normal Formation,(104.677, -0.138, 31.510)
16,10:34:01 vorm.,Normal Formation,(112.928, -0.138, 30.361)
17,10:34:02 vorm.,Normal Formation,(121.101, -0.138, 29.036)
18,10:34:03 vorm.,Normal Formation,(129.077, -0.138, 26.827)
19,10:34:03 vorm.,Normal Formation,(136.775, -0.138, 23.743)
20,10:34:04 vorm.,Normal Formation,(140.229, -0.138, 16.188)
21,10:34:05 vorm.,Normal Formation,(142.023, -0.138, 8.067)
22,10:34:05 vorm.,Normal Formation,(145.530, -0.138, 0.587)
23,10:35:54 vorm.,Normal Formation,(148.921, -0.138, -6.954)
24,10:35:54 vorm.,Normal Formation,(148.019, -0.138, -1.053)
25,10:35:55 vorm.,Normal Formation,(146.040, -0.138, 4.553)
26,10:35:56 vorm.,Normal Formation,(143.515, -0.138, 10.258)
27,10:35:56 vorm.,Normal Formation,(140.567, -0.138, 16.076)
28,10:35:57 vorm.,Normal Formation,(137.264, -0.138, 21.383)
29,10:35:58 vorm.,Normal Formation,(132.560, -0.138, 25.527)
30,10:35:59 vorm.,Normal Formation,(126.472, -0.138, 26.539)
31,10:35:59 vorm.,Normal Formation,(120.101, -0.138, 27.077)
32,10:36:00 vorm.,Normal Formation,(113.508, -0.138, 27.339)
33,10:36:01 vorm.,Normal Formation,(106.467, -0.138, 28.147)
34,10:36:01 vorm.,Normal Formation,(99.355, -0.138, 28.985)
35,10:36:01 vorm.,Normal Formation,(92.299, -0.138, 29.507)
36,10:36:02 vorm.,Normal Formation,(85.129, -0.138, 29.873)
37,10:36:02 vorm.,Normal Formation,(78.120, -0.138, 30.855)
38,10:36:03 vorm.,Normal Formation,(70.978, -0.138, 32.358)
39,10:36:04 vorm.,Normal Formation,(63.726, -0.138, 33.709)
40,10:36:04 vorm.,Normal Formation,(56.572, -0.138, 35.533)
41,10:36:04 vorm.,Normal Formation,(49.429, -0.138, 37.507)
42,10:36:05 vorm.,Normal Formation,(42.174, -0.138, 38.776)
43,10:36:06 vorm.,Normal Formation,(35.219, -0.138, 36.797)
44,10:36:07 vorm.,Normal Formation,(29.005, -0.138, 32.943)
45,10:36:08 vorm.,Normal Formation,(24.010, -0.138, 27.351)
46,10:36:08 vorm.,Normal Formation,(18.455, -0.138, 23.075)
Index, BTC Jumps
1,(6.913, -0.138, 29.222)
2,(12.272, -0.138, 29.733)
3,(17.850, -0.138, 29.764)
4,(23.301, -0.138, 30.013)
5,(28.358, -0.138, 30.996)
6,(28.997, -0.138, 30.246)
7,(101.161, 0.000, 100.444)
8,(59.908, -0.138, 48.958)
9,(52.838, -0.138, 45.677)
10,(45.520, -0.138, 41.880)
11,(38.204, -0.138, 37.784)
12,(31.040, -0.138, 33.462)
13,(23.890, -0.138, 28.994)
14,(16.675, -0.138, 24.611)
15,(12.265, -0.138, 23.578)
16,(66.222, -0.138, 52.747)
17,(58.811, -0.138, 49.220)
18,(51.314, -0.138, 45.484)
19,(43.894, -0.138, 41.823)
20,(36.695, -0.138, 37.904)
21,(29.967, -0.138, 33.107)
22,(23.003, -0.138, 28.534)
23,(15.233, -0.138, 25.374)
24,(11.793, -0.138, 24.043)
25,(12.908, -0.138, 21.971)
26,(12.892, -0.138, 27.667)
27,(18.569, -0.138, 27.716)
28,(24.305, -0.138, 25.811)
29,(28.467, -0.138, 21.494)
30,(30.339, -0.138, 15.988)
31,(31.690, -0.138, 10.124)
32,(36.342, -0.138, 6.098)
33,(42.103, -0.138, 4.031)
34,(48.189, -0.138, 2.487)
35,(54.285, -0.138, 1.013)
36,(59.721, -0.138, -0.979)
37,(62.940, -0.138, -5.308)
38,(63.884, -0.138, -11.174)
39,(63.468, -0.138, -17.508)
40,(63.350, -0.138, -24.021)
41,(63.974, -0.138, -30.542)
42,(64.841, -0.138, -36.871)
43,(65.993, -0.138, -43.222)
44,(69.839, -0.138, -48.106)
45,(75.239, -0.138, -50.628)
46,(81.046, -0.138, -50.204)
47,(85.722, -0.138, -49.050)
Cicle formation, SemiCircle Formation, Presenter Formations, As-is Formation, Total Jumps
0,0,0,46,46
