Index,Time(s),Type of jump,Jump Location(s)
1,10:18:41 AM,SemiCircle Formation,(61.226, -0.138, 47.707)
2,10:18:42 AM,SemiCircle Formation,(66.333, -0.138, 51.829)
3,10:18:43 AM,SemiCircle Formation,(70.977, -0.138, 55.471)
Index, BTC Jumps
1,(1.405, -0.138, 29.263)
2,(7.613, -0.138, 29.626)
3,(13.798, -0.138, 30.000)
4,(19.489, -0.138, 30.255)
5,(143.406, -0.138, 4.366)
6,(144.198, -0.138, 10.681)
7,(144.387, -0.138, 16.907)
8,(144.691, -0.138, 23.014)
9,(144.879, -0.138, 30.307)
10,(145.239, -0.138, 37.438)
11,(140.624, -0.138, 39.705)
12,(135.716, -0.138, 42.249)
13,(129.822, -0.138, 44.308)
14,(123.630, -0.138, 45.036)
15,(117.672, -0.138, 45.366)
16,(111.383, -0.138, 46.231)
17,(105.088, -0.138, 48.824)
18,(98.919, -0.138, 51.545)
19,(92.865, -0.138, 54.008)
20,(87.509, -0.138, 56.449)
21,(81.044, -0.138, 55.836)
22,(74.332, -0.138, 54.724)
23,(66.144, -0.138, 51.923)
24,(58.228, -0.138, 48.413)
25,(50.534, -0.138, 44.434)
26,(42.754, -0.138, 40.783)
27,(35.285, -0.138, 36.834)
28,(29.180, -0.138, 30.996)
29,(24.885, -0.138, 23.943)
30,(18.064, -0.138, 21.303)
31,(22.801, -0.138, 17.929)
32,(27.401, -0.138, 14.316)
33,(31.982, -0.138, 10.642)
34,(36.789, -0.138, 7.302)
35,(42.166, -0.138, 4.713)
36,(47.999, -0.138, 3.170)
37,(53.581, -0.138, 0.661)
38,(58.481, -0.138, -2.735)
39,(62.311, -0.138, -7.682)
40,(63.268, -0.138, -13.751)
41,(63.297, -0.138, -19.836)
42,(63.018, -0.138, -25.852)
43,(63.707, -0.138, -31.888)
44,(65.186, -0.138, -37.692)
45,(67.639, -0.138, -43.043)
46,(71.987, -0.138, -47.381)
47,(77.737, -0.138, -49.365)
48,(83.271, -0.138, -49.550)
Cicle formation, SemiCircle Formation, Presenter Formations, As-is Formation, Total Jumps
0,3,0,0,3
